Message ID,Received At,Processed At,Task ID,Error Rate,Date,Detailed Report,,,,,,,,,,,,,,,,,,,
57681b71a65292a045d9cd6bea46491c,2018-05-27T17:05:39+00:00,2018-05-27T17:05:45+00:00,5ac0c03c79abc8002ed6feb6,22.18%,"Sun, May 20, 2018 at 3:55 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180309_091800_00003/3726.0_3756.0/qa_report.json,,,,,,,,,,,,,,,,,,,
6c20377d8103243b32a4e4030c6f7bbd,2018-05-27T17:05:39+00:00,2018-05-27T17:05:45+00:00,5a828ba813628a002028e6a0,17.17%,"Sun, May 20, 2018 at 4:20 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180202_170821_00005/1292.0_1322.0/qa_report.json,,,,,,,,,,,,,,,,,,,
1ff1e1d061a0b98c08ff4d28b45a1e8b,2018-05-27T17:05:46+00:00,2018-05-27T17:05:49+00:00,5acfe31bac7644002edd61ea,8.52%,"Sun, May 20, 2018 at 3:15 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180406_203232_00002/4576.0_4606.0/qa_report.json,,,,,,,,,,,,,,,,,,,
5c4c3ed7e19ce582a0beffbb31039a75,2018-05-27T17:05:52+00:00,2018-05-27T17:05:55+00:00,5ab7f383a2ade40027bb9111,19.58%,"Sun, May 20, 2018 at 2:35 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180309_103935_00003/3331.0_3361.0/qa_report.json,,,,,,,,,,,,,,,,,,,
b29165b960bc6efee8faa8373c0052cf,2018-05-27T17:05:54+00:00,2018-05-27T17:05:58+00:00,5ad7e2acc26cf300350c32cd,27.29%,"Sat, May 19, 2018 at 8:40 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180409_151828_00005/1435.0_1465.0/qa_report.json,,,,,,,,,,,,,,,,,,,
13efda2e2b3c57918a490d5fb6254aa6,2018-05-27T17:06:01+00:00,2018-05-27T17:06:06+00:00,5a7cb28649eba20020a43934,35.56%,"Sat, May 19, 2018 at 8:40 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180205_173746_00004/2312.0_2342.0/qa_report.json,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
